30.8876	10.0044
32.3247	9.21664
33.7175	8.63497
35.8611	7.88843
38.3869	7.25969
41.094	6.53513
43.9872	6.05233
46.0362	5.50003
50.0818	5.00874
52.5781	4.68771
55.9173	4.3551
57.9504	4.10175
61.429	3.86317
65.3316	3.57024
69.4799	3.32741
73.6533	3.10434
77.3239	2.91149
81.9642	2.75371
86.6045	2.59354
92.0987	2.45041
97.6268	2.31031
103.819	2.1897
114.03	2.04294
125.244	1.91405
137.996	1.82372
152.542	1.72673
168.072	1.65045
185.777	1.58585
205.336	1.54476
229.159	1.51108
254.097	1.48281
313.398	1.45512
363.537	1.4491
429.929	1.45225
492.292	1.46615
609.063	1.48959
743.865	1.51658
893.962	1.54568
1053.76	1.57202
1274.58	1.60387
1660.37	1.6462
2519.56	1.72446
3375.23	1.77124
4560.62	1.81419
6083.3	1.85818
8398.59	1.89527
11446.2	1.94396
15734.7	1.98276
22580.7	2.02236
29607.1	2.05403
41229.2	2.08624
81340.4	2.14016
97025.2	2.15235
143498	2.18616
190597	2.21108
238363	2.22684
308533	2.24904
402811	2.27147
495172	2.28444
619276	2.29428
774460	2.32363
919834	2.33686
